datetime,temp,feelslike,humidity,precip,precipprob,windgust,windspeed,winddir,sealevelpressure,visibility
2025-06-01T00:00:00,61.4,61.4,90.84,0,0,7.6,3.1,183.2,1016,2.9
2025-06-01T01:00:00,60.9,60.9,90.24,0,0,7.6,3.4,185.7,1016,15
2025-06-01T02:00:00,60.5,60.5,90.81,0,0,8.1,3.4,192.7,1016,15
2025-06-01T03:00:00,61.2,61.2,89.09,0,0,7.8,2.9,199.5,1015,8.4
2025-06-01T04:00:00,61.2,61.2,89.67,0,0,6,2.9,207.4,1015,2.5
2025-06-01T05:00:00,61.6,61.6,89.69,0,0,6,3.1,199.4,1015,2.7
2025-06-01T06:00:00,61.4,61.4,87.96,0,0,6.5,3.1,187.1,1016,15
2025-06-01T07:00:00,62.9,62.9,89.74,0,0,6.5,2.9,185.9,1016,15
2025-06-01T08:00:00,63.4,63.4,86.93,0,0,8.3,3.4,195.4,1017,15
2025-06-01T09:00:00,63.9,63.9,88.64,0,0,11.9,4.9,201.1,1017,15
2025-06-01T10:00:00,63.9,63.9,86.4,0,0,13.9,5.4,200.8,1017,15
2025-06-01T11:00:00,65.2,65.2,80.07,0,0,14.1,5.6,202.8,1017,15
2025-06-01T12:00:00,67,67,76.2,0,0,15.4,6.3,209.8,1016,15
2025-06-01T13:00:00,67.2,67.2,76.22,0,0,16.6,6.9,209.3,1015,11
2025-06-01T14:00:00,67.6,67.6,75.76,0,0,18.3,7.4,206.7,1015,11
2025-06-01T15:00:00,67.9,67.9,75.79,0,0,18.3,6.9,196.6,1014,11
2025-06-01T16:00:00,67.2,67.2,77.2,0,0,16.3,6.5,190.5,1014,11
2025-06-01T17:00:00,64.3,64.3,85.32,0,0,15.9,5.6,188,1014,15
2025-06-01T18:00:00,62.9,62.9,88.03,0,0,12.8,4.5,177,1015,15
2025-06-01T19:00:00,61.8,61.8,88.54,0,0,10.3,3.8,176,1015,15
2025-06-01T20:00:00,61.6,61.6,87.97,0,0,9.2,3.4,169.5,1015,15
2025-06-01T21:00:00,60.7,60.7,92.59,0,0,8.5,3.4,168.4,1016,10.1
2025-06-01T22:00:00,60,60,90.2,0,0,8.1,3.1,168.6,1016,15
2025-06-01T23:00:00,60,60,89.04,0,0,7.6,2.7,168.4,1015,5.7
2025-06-02T00:00:00,60.2,60.2,87.9,0,0,6.5,2.9,169.2,1016,4.3
2025-06-02T01:00:00,60.7,60.7,87.92,0,0,6.5,2.9,169.1,1015,15
2025-06-02T02:00:00,60.2,60.2,87.9,0,0,7.6,2.7,170,1015,15
2025-06-02T03:00:00,59.8,59.8,87.88,0,0,6.9,2.5,174,1015,15
2025-06-02T04:00:00,60.3,60.3,86.21,0,0,6.5,2.7,170.9,1015,15
2025-06-02T05:00:00,63.1,63.1,83.61,0,0,6.3,1.8,207.4,1015,15
2025-06-02T06:00:00,62.1,62.1,84.1,0,0,5.1,3.1,214.5,1016,15
2025-06-02T07:00:00,62.1,62.1,84.65,0,0,6.5,4.3,212.8,1016,15
2025-06-02T08:00:00,64.5,64.5,81.58,0,0,8.3,4.3,202.5,1017,15
2025-06-02T09:00:00,65.2,65.2,83.75,0,0,11.4,4.9,206,1017,15
2025-06-02T10:00:00,64.7,64.7,85.89,0,0,12.5,5.8,214,1018,15
2025-06-02T11:00:00,63.6,63.6,88.06,0,0,14.1,5.6,213.6,1017,15
2025-06-02T12:00:00,65.4,65.4,84.84,0.004,100,14.5,5.4,216.7,1017,15
2025-06-02T13:00:00,65.9,65.9,84.33,0,0,15.4,5.8,218.3,1016,11.1
2025-06-02T14:00:00,66.8,66.8,83.85,0,0,17.4,6.5,211.7,1015,11
2025-06-02T15:00:00,67.6,67.6,80.76,0,0,17.7,6.5,205,1014,11.1
2025-06-02T16:00:00,65.9,65.9,84.33,0,0,16.6,5.8,201.1,1014,15
2025-06-02T17:00:00,64.8,64.8,86.45,0,0,14.5,4.5,209.8,1014,11.1
